id,host_id,host_name,host_since,host_response_time,host_response_rate,neighbourhood,neighbourhood_cleansed,city,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial
3781,4804,Frank,12/3/2008,within a day,100%,East Boston,East Boston,Boston,2128,"Boston, MA",42.36524121,-71.02936149,t,Apartment,Entire home/apt,2,1,1,1,,125,750,2250,0,75,30,1125,4,Yes
5506,8229,Terry,2/19/2009,within an hour,100%,Roxbury,Roxbury,Boston,2119,"Boston, MA",42.3298085,-71.09559469,t,Guest suite,Entire home/apt,2,1,1,1,225,145,980,3000,0,40,3,730,32,Yes
6695,8229,Terry,2/19/2009,within an hour,100%,Roxbury,Roxbury,Boston,2119,"Boston, MA",42.32994061,-71.09350511,t,Condominium,Entire home/apt,4,1,1,2,,169,,,,70,3,730,40,Yes
6976,16701,Phil,5/11/2009,within an hour,100%,Roslindale,Roslindale,Boston,2131,"Boston, MA",42.29243789,-71.13576525,t,Apartment,Private room,2,1,1,1,,65,395,1350,0,0,3,60,60,No
8789,26988,Anne,7/22/2009,within a day,100%,Beacon Hill,Downtown,Boston,2108,"Boston, MA",42.35918692,-71.06265111,t,Apartment,Entire home/apt,2,1,1,1,,99,1200,2900,1000,150,14,365,43,Yes
8792,26988,Anne,7/22/2009,within a day,100%,Beacon Hill,Downtown,Boston,2108,"Boston, MA",42.35849698,-71.06201144,t,Apartment,Entire home/apt,2,1,1,1,,154,750,2900,1000,250,20,365,1,Yes
8865,26988,Anne,7/22/2009,within a day,100%,Mission Hill,Mission Hill,Boston,2120,"Boston, MA",42.3293557,-71.1000911,t,Apartment,Private room,1,1,1,1,,100,450,1500,500,100,14,365,0,Yes
9273,4804,Frank,12/3/2008,within a day,100%,East Boston,East Boston,Boston,2128,"Boston, MA",42.36460804,-71.02902056,t,Apartment,Entire home/apt,4,2,2,2,,225,1400,3600,,80,7,365,0,Yes
10758,38440,The Farrington Inn,9/14/2009,N/A,N/A,Allston-Brighton,Allston,Boston,2134,"Boston, MA",42.35344917,-71.13179683,t,Other,Private room,1,1,1,1,,115,,,,,1,90,0,Yes
10807,38440,The Farrington Inn,9/14/2009,N/A,N/A,Allston-Brighton,Allston,Boston,02134-1704,"Boston, MA",42.35412286,-71.13048573,t,House,Private room,2,1,1,1,,80,,,,,1,730,0,Yes
10809,38440,The Farrington Inn,9/14/2009,N/A,N/A,Allston-Brighton,Allston,Boston,2134,"Boston, MA",42.35478799,-71.13208846,t,Apartment,Private room,4,0,1,2,,100,,,,,1,60,0,Yes
10810,38440,The Farrington Inn,9/14/2009,N/A,N/A,Allston-Brighton,Allston,Boston,2134,"Boston, MA",42.35335918,-71.13034354,t,Apartment,Entire home/apt,5,1,2,4,,250,,,,,4,365,0,Yes
10811,38997,Michelle,9/16/2009,within a day,99%,Back Bay,Back Bay,Boston,2115,"Boston, MA",42.34972969,-71.08792364,f,Apartment,Entire home/apt,3,1,0,2,,189,,2250,,100,1,730,46,Yes
10813,38997,Michelle,9/16/2009,within a day,99%,Back Bay,Back Bay,Boston,2115,"Boston, MA",42.34961258,-71.08903822,t,Apartment,Entire home/apt,3,1,0,1,,189,800,2250,,100,3,730,83,Yes
10986,38997,Michelle,9/16/2009,within a day,99%,North End,North End,Boston,2109,"Boston, MA",42.36351987,-71.05075392,f,Condominium,Entire home/apt,2,1,0,1,,99,,,0,145,5,730,83,Yes
12356,26988,Anne,7/22/2009,within a day,100%,,Beacon Hill,Boston,2108,"Boston, MA",42.35898849,-71.06324696,t,Condominium,Entire home/apt,3,1,1,1,,145,800,3200,1000,250,14,365,4,Yes
12441,25188,Seamless,7/10/2009,within a day,76%,Back Bay,Back Bay,Boston,2116,"Boston, MA",42.35384159,-71.07268038,t,Serviced apartment,Entire home/apt,6,3,3,3,,414,,9950,,,2,1125,61,Yes
13589,25188,Seamless,7/10/2009,within a day,76%,Back Bay,Back Bay,Boston,2116,"Boston, MA",42.3552632,-71.0727931,t,Serviced apartment,Entire home/apt,6,2,3,3,,389,,9800,,,3,1125,62,Yes
18711,71783,Lance,1/19/2010,within an hour,99%,Dorchester,Dorchester,Boston,2125,"Boston, MA",42.32328571,-71.06210287,t,Serviced apartment,Entire home/apt,7,1,3,3,1200,126,1375,3500,250,125,2,365,58,Yes
22354,85770,Robert,2/26/2010,within an hour,100%,South End,South End,Boston,2116,"Boston, MA",42.34495654,-71.07485746,t,Bed and breakfast,Private room,1,,1,1,,148,,,0,21,1,90,59,Yes
23946,93112,Henry And Lisa,3/14/2010,within an hour,100%,Brookline,Mission Hill,Brookline,2445,"Brookline, MA",42.33276102,-71.11508417,t,Condominium,Entire home/apt,2,1,0,1,,175,1000,2400,0,75,30,365,3,Yes
24240,97821,Gretchen,3/23/2010,within a few hours,100%,North End,North End,Boston,2109,"Boston, MA",42.36366048,-71.05023194,t,Boat,Entire home/apt,5,2,2,3,0,270,1700,,0,0,1,30,26,No
27546,119019,Hermina,5/5/2010,within an hour,99%,Dorchester,Dorchester,Dorchester,2122,"Dorchester, MA",42.29834949,-71.05910373,t,House,Private room,4,1,1,2,,55,,,100,25,1,365,6,Yes
27611,119381,Gordon And Alexandra,5/6/2010,within an hour,100%,Jamaica Plain,Jamaica Plain,Boston,2130,"Boston, MA",42.31556512,-71.11482701,t,Apartment,Entire home/apt,2,1,1,1,,185,1100,3500,200,60,3,365,72,No
29765,128280,Elizabeth,5/19/2010,within a few hours,100%,Charlestown,Charlestown,Boston,2129,"Boston, MA",42.37833822,-71.06662682,t,Apartment,Entire home/apt,2,1,1,1,,221,1500,3900,0,25,2,21,28,No
