id,Violent_Crimes,Property_Crimes
9533193,295,1721
10758,295,1721
10809,295,1721
10810,295,1721
95453,295,1721
2114274,295,1721
2672058,295,1721
3677662,295,1721
3701108,295,1721
4526384,295,1721
4710583,295,1721
4909590,295,1721
5047340,295,1721
5593939,295,1721
5661246,295,1721
5762866,295,1721
5775139,295,1721
5858133,295,1721
5870922,295,1721
5871900,295,1721
5967421,295,1721
6179374,295,1721
6277566,295,1721
6370235,295,1721
6373729,295,1721
6476613,295,1721
6761345,295,1721
6823017,295,1721
6838488,295,1721
6854357,295,1721
6923942,295,1721
6976414,295,1721
7052171,295,1721
7055184,295,1721
7245413,295,1721
7346760,295,1721
7395978,295,1721
7462268,295,1721
7479725,295,1721
7527677,295,1721
7561220,295,1721
7783953,295,1721
7797744,295,1721
7868209,295,1721
7894645,295,1721
7931331,295,1721
8029788,295,1721
8034092,295,1721
8112652,295,1721
8238078,295,1721
8301150,295,1721
8552338,295,1721
8607856,295,1721
8704828,295,1721
8751275,295,1721
8758450,295,1721
9109401,295,1721
9110708,295,1721
9216838,295,1721
9445192,295,1721
9541666,295,1721
9570618,295,1721
9593141,295,1721
9813223,295,1721
9878725,295,1721
9969226,295,1721
10123024,295,1721
10208321,295,1721
10231171,295,1721
10436811,295,1721
10724635,295,1721
10730102,295,1721
11304657,295,1721
12176027,295,1721
12233830,295,1721
12253499,295,1721
12270833,295,1721
12409042,295,1721
12522565,295,1721
12540640,295,1721
12592696,295,1721
12628940,295,1721
12752442,295,1721
12755021,295,1721
13004551,295,1721
13017064,295,1721
13024208,295,1721
13057265,295,1721
13126713,295,1721
13236820,295,1721
13295386,295,1721
13327034,295,1721
13345701,295,1721
13355213,295,1721
13443430,295,1721
13450030,295,1721
13451383,295,1721
13515084,295,1721
13530359,295,1721
13590412,295,1721
13592046,295,1721
13656292,295,1721
13684251,295,1721
13684464,295,1721
13685207,295,1721
13685228,295,1721
13685577,295,1721
13733887,295,1721
13782612,295,1721
13996398,295,1721
14044530,295,1721
14153636,295,1721
14203428,295,1721
14220964,295,1721
14251839,295,1721
14253149,295,1721
14303761,295,1721
14311859,295,1721
14473323,295,1721
14473564,295,1721
14473911,295,1721
14487262,295,1721
14572515,295,1721
14605670,295,1721
14650655,295,1721
14651378,295,1721
14916248,295,1721
14992370,295,1721
15068390,295,1721
15124436,295,1721
15124883,295,1721
15222071,295,1721
15342774,295,1721
15412846,295,1721
15559436,295,1721
15569507,295,1721
15624533,295,1721
15672225,295,1721
15738758,295,1721
15769929,295,1721
15974807,295,1721
16013973,295,1721
16040760,295,1721
16086871,295,1721
16188636,295,1721
16266227,295,1721
16288982,295,1721
16312885,295,1721
16507969,295,1721
16983905,295,1721
17139006,295,1721
17139798,295,1721
17153135,295,1721
17156164,295,1721
17249161,295,1721
17264839,295,1721
17268897,295,1721
17271128,295,1721
17285247,295,1721
17367804,295,1721
17810550,295,1721
17920651,295,1721
17939305,295,1721
17940636,295,1721
17942378,295,1721
17942714,295,1721
17959491,295,1721
18104950,295,1721
18141101,295,1721
18154910,295,1721
18175131,295,1721
18238531,295,1721
18275579,295,1721
18376729,295,1721
18472852,295,1721
18485290,295,1721
18488815,295,1721
18544883,295,1721
18585053,295,1721
18586421,295,1721
18600221,295,1721
18772750,295,1721
18774656,295,1721
18946874,295,1721
18974032,295,1721
19005408,295,1721
19014867,295,1721
19015741,295,1721
19018404,295,1721
19096176,295,1721
19103623,295,1721
19182691,295,1721
19183472,295,1721
19229464,295,1721
19328724,295,1721
19346500,295,1721
19437268,295,1721
19593942,295,1721
19622535,295,1721
19623990,295,1721
19676676,295,1721
19698396,295,1721
19734101,295,1721
19769905,295,1721
19779706,295,1721
20067610,295,1721
20171412,295,1721
20331581,295,1721
20333585,295,1721
20456058,295,1721
20607519,295,1721
20645105,295,1721
20744849,295,1721
20810636,295,1721
20967261,295,1721
21038943,295,1721
21039322,295,1721
21039469,295,1721
21261367,295,1721
21281205,295,1721
21294177,295,1721
21380476,295,1721
21380600,295,1721
21411264,295,1721
21412569,295,1721
21423860,295,1721
21429119,295,1721
21434342,295,1721
21436675,295,1721
21447482,295,1721
21505991,295,1721
21580648,295,1721
21591521,295,1721
21648557,295,1721
21679735,295,1721
21684930,295,1721
21694590,295,1721
21708880,295,1721
21711473,295,1721
21711766,295,1721
21712033,295,1721
21735562,295,1721
21756325,295,1721
21838021,295,1721
21850219,295,1721
21891473,295,1721
21934940,295,1721
21935939,295,1721
21996594,295,1721
22012439,295,1721
22014195,295,1721
22084812,295,1721
22090413,295,1721
22435879,295,1721
22439554,295,1721
22446048,295,1721
22446503,295,1721
22447790,295,1721
22447995,295,1721
22447999,295,1721
22606958,295,1721
22695749,295,1721
22747037,295,1721
22845323,295,1721
22899427,295,1721
23000230,295,1721
23000887,295,1721
23001050,295,1721
23001243,295,1721
23001550,295,1721
23304925,295,1721
23523865,295,1721
23651348,295,1721
23728792,295,1721
23730643,295,1721
23739621,295,1721
23981743,295,1721
24131246,295,1721
24208804,295,1721
24259447,295,1721
24351979,295,1721
24352396,295,1721
24398052,295,1721
24476477,295,1721
24487339,295,1721
24557444,295,1721
24709494,295,1721
24756185,295,1721
24756731,295,1721
24781901,295,1721
24784931,295,1721
24785718,295,1721
24793868,295,1721
24827153,295,1721
24827605,295,1721
24829030,295,1721
24908237,295,1721
24984291,295,1721
25013408,295,1721
25027033,295,1721
25087750,295,1721
25180287,295,1721
25283031,295,1721
25347070,295,1721
25428146,295,1721
25491688,295,1721
25517511,295,1721
25784334,295,1721
25905868,295,1721
25910396,295,1721
25913742,295,1721
25913993,295,1721
25914231,295,1721
25914450,295,1721
25914637,295,1721
25943137,295,1721
25978041,295,1721
26081563,295,1721
26200016,295,1721
26248583,295,1721
26294544,295,1721
26328815,295,1721
26419561,295,1721
26446700,295,1721
26450604,295,1721
26450605,295,1721
26450608,295,1721
26450614,295,1721
26450779,295,1721
26450780,295,1721
26450789,295,1721
26450795,295,1721
26450815,295,1721
26452339,295,1721
26562415,295,1721
26781465,295,1721
26784010,295,1721
26784242,295,1721
26832651,295,1721
26842959,295,1721
26891579,295,1721
27023204,295,1721
27092185,295,1721
27126754,295,1721
27130808,295,1721
27131795,295,1721
27155460,295,1721
27233768,295,1721
27429577,295,1721
27464072,295,1721
27508351,295,1721
27509899,295,1721
